Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Sets,Reps,Picture
670,Thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Abductors,Machine,MEDIUM,3-4,12-15,
692,HM Frog Stretch,,Strength,Abductors,Body Only,MEDIUM,3-4,12-15,
690,HM Right Leg Swing,,Stretching,Abductors,Body Only,MEDIUM,3-4,12-15,
662,Band Hip Adductions,,Strength,Adductors,Bands,LOW,3-4,12-15,
666,Adductor SMR,"Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.",Stretching,Adductors,Foam Roll,LOW,3-4,12-15,
672,Groiners,,Stretching,Adductors,Body Only,LOW,3-4,12-15,
698,Groin and Back Stretch,,Stretching,Adductors,,LOW,3-4,12-15,,
684,Side-To-Side Adductor Stretch,,Strength,Adductors,Body Only,MEDIUM,3-4,12-15,
697,Side-lying leg adduction scissor,"The side-lying leg adduction scissor is a dynamic core exercise that combines the isometric hold of a side-lying leg lift with leg adductions to further challenge the core and adductors. It targets multiple muscles of the core, primarily the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Adductors,Body Only,MEDIUM,3-4,12-15,
678,Side Lying Groin Stretch,,Stretching,Adductors,Body Only,MEDIUM,3-4,12-15,
695,UNS Foam Roll Adductor,,Strength,Adductors,Body Only,MEDIUM,3-4,12-15,
667,Lying Bent Leg Groin,,Stretching,Adductors,Other,LOW,3-4,12-15,
681,Carioca quick step,"The carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning. It’s a favorite of football players, particularly defensive backs, because it mimics the way they have to track wide receivers downfield. It can also help mobilize the hips for athletes and lifters of all ability levels.",Plyometrics,Adductors,Body Only,MEDIUM,3-4,12-15,
1763,Lying Face Up Plate Neck Resistance,,Strength,Neck,Other,LOW,3-4,12-15,neck-curl-bench.gif
1777,Neck Bridge Prone,,Strength,Neck,Body Only,LOW,3-4,12-15,
1762,Lying Face Down Plate Neck Resistance,,Strength,Neck,Other,LOW,3-4,12-15,man-doing-lying-face-down-plate-neck-resistance-vector-40059971.jpeg
1779,Neck-SMR,,Stretching,Neck,Body Only,MEDIUM,3-4,12-15,Rotating-Neck-Stretch.gif
1764,Seated Head Harness Neck Resistance,,Strength,Neck,Other,LOW,3-4,12-15,Cable-Seated-Neck-Extension-with-head-harness.gif
1776,Isometric Neck Exercise - Front And Back,,Strength,Neck,Body Only,LOW,3-4,12-15,Kneeling-Neck-Stretch
